fault_text1,fault_text2,semantic_similarity
变频器过压报警，直流母线电压达800V,变频器参数紊乱，加速时间被异常修改,0.64
离心泵密封泄漏，机械密封端面磨损,离心泵空转异响，进口阀门未打开导致气蚀,0.44
电机轴承润滑不足导致转速异常，输出转速波动±5%,变频器过流跳闸，输出电流超额定30%,0.19
传感器响应延迟，信号滞后2秒,传感器无输出信号，接线端子接触不良,0.6
继电器接触不良，信号传输时断时续,继电器线圈烧毁，电阻值无穷大,1.0
传感器无输出信号，接线端子接触不良,传感器响应延迟，信号滞后2秒,0.68
变频器频率漂移，设定50Hz实际输出45Hz,变频器散热风扇故障，散热片温度达75℃,0.52
离心泵密封泄漏，机械密封端面磨损,离心泵轴承发热，温度达75℃,0.42
传感器无输出信号，接线端子接触不良,传感器量程超限，显示值固定为最大值,0.83
电机轴承润滑不足导致转速异常，输出转速波动±5%,PLC信号丢失，传感器反馈数据无更新,0.09
离心泵轴承发热，温度达75℃,离心泵密封泄漏，机械密封端面磨损,0.96
离心泵轴承发热，温度达75℃,轴承滚珠破损，振动频谱出现冲击峰值,0.21
继电器接触不良，信号传输时断时续,变频器频率漂移，设定50Hz实际输出45Hz,0.2
变频器频率漂移，设定50Hz实际输出45Hz,变频器过压报警，直流母线电压达800V,0.9
电机负载达额定120%时出现过热，绕组温度升至105℃,PLC程序报错，梯形图逻辑错误导致误动作,0.25
传感器数值漂移，测量值比实际值高10%,传感器抗干扰差，受电磁干扰出现跳变,0.62
PLC通讯故障，与变频器的Modbus连接中断,PLC信号丢失，传感器反馈数据无更新,0.45
离心泵密封泄漏，机械密封端面磨损,离心泵轴承发热，温度达75℃,0.46
离心泵叶轮磨损，流量下降至额定70%,离心泵轴承发热，温度达75℃,0.83
离心泵密封泄漏，机械密封端面磨损,电机过载停机，故障代码E012，需重启复位,0.23
轴承磨损异响，运转时出现周期性异音,轴承温升过高，连续运行2小时后温度达80℃,0.82
继电器误动作，无输入信号时触点自行闭合,继电器吸合不良，线圈电压正常但触点未闭合,0.5
离心泵空转异响，进口阀门未打开导致气蚀,离心泵轴承发热，温度达75℃,0.94
变频器过压报警，直流母线电压达800V,变频器过流跳闸，输出电流超额定30%,0.62
轴承润滑脂干涸，出现干摩擦异响,轴承润滑脂干涸，出现干摩擦异响,0.53
变频器频率漂移，设定50Hz实际输出45Hz,变频器频率漂移，设定50Hz实际输出45Hz,0.58
变频器频率漂移，设定50Hz实际输出45Hz,变频器参数紊乱，加速时间被异常修改,0.67
变频器散热风扇故障，散热片温度达75℃,变频器过压报警，直流母线电压达800V,0.81
离心泵空转异响，进口阀门未打开导致气蚀,离心泵叶轮磨损，流量下降至额定70%,0.96
电机连续运行8小时后出现异响，振动值超额定20%,电机过载停机，故障代码E012，需重启复位,0.41
轴承润滑脂干涸，出现干摩擦异响,轴承温升过高，连续运行2小时后温度达80℃,1.0
PLC断电记忆丢失，参数恢复至出厂默认值,PLC输入输出点I0.2损坏，无信号输入,0.95
离心泵空转异响，进口阀门未打开导致气蚀,离心泵流量不足，出口管路堵塞,0.86
离心泵流量不足，出口管路堵塞,液压缸活塞杆变形，伸出时出现偏斜,0.14
液压缸活塞杆变形，伸出时出现偏斜,液压缸活塞杆变形，伸出时出现偏斜,0.65
轴承磨损异响，运转时出现周期性异音,轴承温升过高，连续运行2小时后温度达80℃,0.63
继电器触点烧蚀，接触电阻增大至5Ω,变频器参数紊乱，加速时间被异常修改,0.3
传感器量程超限，显示值固定为最大值,液压缸活塞杆变形，伸出时出现偏斜,0.17
轴承润滑脂干涸，出现干摩擦异响,轴承滚珠破损，振动频谱出现冲击峰值,0.52
轴承间隙过大，径向游隙超0.15mm,轴承滚珠破损，振动频谱出现冲击峰值,0.67
液压缸缓冲装置失效，行程末端冲击过大,液压缸活塞杆变形，伸出时出现偏斜,0.57
PLC通讯故障，与变频器的Modbus连接中断,PLC信号丢失，传感器反馈数据无更新,0.47
继电器线圈烧毁，电阻值无穷大,继电器接触不良，信号传输时断时续,0.58
变频器散热风扇故障，散热片温度达75℃,变频器频率漂移，设定50Hz实际输出45Hz,0.88
电机过载停机，故障代码E012，需重启复位,电机过载停机，故障代码E012，需重启复位,0.58
轴承润滑脂干涸，出现干摩擦异响,轴承间隙过大，径向游隙超0.15mm,0.45
变频器参数紊乱，加速时间被异常修改,变频器过压报警，直流母线电压达800V,0.67
传感器无输出信号，接线端子接触不良,传感器无输出信号，接线端子接触不良,0.65
轴承间隙过大，径向游隙超0.15mm,轴承温升过高，连续运行2小时后温度达80℃,0.89
轴承间隙过大，径向游隙超0.15mm,轴承温升过高，连续运行2小时后温度达80℃,0.93
传感器量程超限，显示值固定为最大值,电机连续运行8小时后出现异响，振动值超额定20%,0.12
PLC输入输出点I0.2损坏，无信号输入,PLC断电记忆丢失，参数恢复至出厂默认值,0.6
变频器参数紊乱，加速时间被异常修改,变频器散热风扇故障，散热片温度达75℃,0.46
变频器过压报警，直流母线电压达800V,变频器频率漂移，设定50Hz实际输出45Hz,0.6
变频器过压报警，直流母线电压达800V,变频器参数紊乱，加速时间被异常修改,0.93
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.54
轴承润滑脂干涸，出现干摩擦异响,轴承磨损异响，运转时出现周期性异音,0.96
电机负载达额定120%时出现过热，绕组温度升至105℃,电机过载停机，故障代码E012，需重启复位,0.99
液压缸压力不足，工作压力仅达额定60%,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.91
离心泵密封泄漏，机械密封端面磨损,离心泵叶轮磨损，流量下降至额定70%,0.9
继电器触点烧蚀，接触电阻增大至5Ω,继电器吸合不良，线圈电压正常但触点未闭合,0.96
变频器散热风扇故障，散热片温度达75℃,传感器响应延迟，信号滞后2秒,0.0
离心泵密封泄漏，机械密封端面磨损,离心泵叶轮磨损，流量下降至额定70%,0.57
PLC输入输出点I0.2损坏，无信号输入,PLC断电记忆丢失，参数恢复至出厂默认值,0.54
轴承润滑脂干涸，出现干摩擦异响,轴承间隙过大，径向游隙超0.15mm,0.52
轴承润滑脂干涸，出现干摩擦异响,轴承磨损异响，运转时出现周期性异音,0.66
传感器抗干扰差，受电磁干扰出现跳变,传感器无输出信号，接线端子接触不良,0.65
电机连续运行8小时后出现异响，振动值超额定20%,PLC程序报错，梯形图逻辑错误导致误动作,0.01
离心泵空转异响，进口阀门未打开导致气蚀,离心泵密封泄漏，机械密封端面磨损,0.7
继电器线圈烧毁，电阻值无穷大,电机负载达额定120%时出现过热，绕组温度升至105℃,0.18
液压缸活塞杆变形，伸出时出现偏斜,液压缸压力不足，工作压力仅达额定60%,0.83
轴承滚珠破损，振动频谱出现冲击峰值,轴承温升过高，连续运行2小时后温度达80℃,0.41
传感器响应延迟，信号滞后2秒,传感器量程超限，显示值固定为最大值,0.94
继电器接触不良，信号传输时断时续,继电器误动作，无输入信号时触点自行闭合,0.65
继电器触点烧蚀，接触电阻增大至5Ω,液压缸动作卡顿，换向时出现滞涩现象,0.01
继电器线圈烧毁，电阻值无穷大,继电器接触不良，信号传输时断时续,0.62
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸缓冲装置失效，行程末端冲击过大,0.5
电机负载达额定120%时出现过热，绕组温度升至105℃,继电器接触不良，信号传输时断时续,0.28
PLC断电记忆丢失，参数恢复至出厂默认值,离心泵密封泄漏，机械密封端面磨损,0.06
PLC通讯故障，与变频器的Modbus连接中断,PLC通讯故障，与变频器的Modbus连接中断,0.59
传感器无输出信号，接线端子接触不良,传感器响应延迟，信号滞后2秒,0.83
传感器量程超限，显示值固定为最大值,传感器数值漂移，测量值比实际值高10%,0.59
液压缸缓冲装置失效，行程末端冲击过大,继电器触点烧蚀，接触电阻增大至5Ω,0.03
传感器数值漂移，测量值比实际值高10%,传感器无输出信号，接线端子接触不良,0.69
PLC通讯故障，与变频器的Modbus连接中断,PLC输入输出点I0.2损坏，无信号输入,0.65
轴承磨损异响，运转时出现周期性异音,变频器过流跳闸，输出电流超额定30%,0.07
传感器量程超限，显示值固定为最大值,传感器抗干扰差，受电磁干扰出现跳变,0.42
液压缸缓冲装置失效，行程末端冲击过大,液压缸动作卡顿，换向时出现滞涩现象,0.87
电机负载达额定120%时出现过热，绕组温度升至105℃,电机负载达额定120%时出现过热，绕组温度升至105℃,0.65
继电器吸合不良，线圈电压正常但触点未闭合,继电器接触不良，信号传输时断时续,0.48
液压缸活塞杆变形，伸出时出现偏斜,液压缸缓冲装置失效，行程末端冲击过大,0.65
继电器线圈烧毁，电阻值无穷大,继电器接触不良，信号传输时断时续,0.53
变频器频率漂移，设定50Hz实际输出45Hz,变频器散热风扇故障，散热片温度达75℃,0.55
传感器量程超限，显示值固定为最大值,轴承间隙过大，径向游隙超0.15mm,0.09
液压缸活塞杆变形，伸出时出现偏斜,液压缸活塞杆变形，伸出时出现偏斜,0.66
轴承润滑脂干涸，出现干摩擦异响,轴承温升过高，连续运行2小时后温度达80℃,0.97
变频器散热风扇故障，散热片温度达75℃,变频器频率漂移，设定50Hz实际输出45Hz,0.6
液压缸压力不足，工作压力仅达额定60%,液压缸压力不足，工作压力仅达额定60%,0.45
变频器过压报警，直流母线电压达800V,变频器参数紊乱，加速时间被异常修改,0.82
传感器数值漂移，测量值比实际值高10%,传感器抗干扰差，受电磁干扰出现跳变,0.86
PLC程序报错，梯形图逻辑错误导致误动作,PLC信号丢失，传感器反馈数据无更新,0.58
PLC程序报错，梯形图逻辑错误导致误动作,PLC输入输出点I0.2损坏，无信号输入,0.81
离心泵密封泄漏，机械密封端面磨损,离心泵轴承发热，温度达75℃,0.43
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机连续运行8小时后出现异响，振动值超额定20%,0.49
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机连续运行8小时后出现异响，振动值超额定20%,0.57
PLC断电记忆丢失，参数恢复至出厂默认值,PLC信号丢失，传感器反馈数据无更新,0.85
传感器数值漂移，测量值比实际值高10%,传感器量程超限，显示值固定为最大值,0.65
传感器量程超限，显示值固定为最大值,变频器过压报警，直流母线电压达800V,0.06
变频器参数紊乱，加速时间被异常修改,离心泵叶轮磨损，流量下降至额定70%,0.04
PLC断电记忆丢失，参数恢复至出厂默认值,电机过载停机，故障代码E012，需重启复位,0.22
传感器抗干扰差，受电磁干扰出现跳变,传感器量程超限，显示值固定为最大值,0.88
轴承滚珠破损，振动频谱出现冲击峰值,轴承磨损异响，运转时出现周期性异音,0.41
轴承磨损异响，运转时出现周期性异音,变频器过压报警，直流母线电压达800V,0.08
轴承润滑脂干涸，出现干摩擦异响,变频器参数紊乱，加速时间被异常修改,0.03
电机负载达额定120%时出现过热，绕组温度升至105℃,电机连续运行8小时后出现异响，振动值超额定20%,0.46
变频器参数紊乱，加速时间被异常修改,变频器过压报警，直流母线电压达800V,1.0
传感器数值漂移，测量值比实际值高10%,传感器数值漂移，测量值比实际值高10%,0.52
电机连续运行8小时后出现异响，振动值超额定20%,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.52
离心泵流量不足，出口管路堵塞,轴承温升过高，连续运行2小时后温度达80℃,0.21
继电器触点烧蚀，接触电阻增大至5Ω,继电器吸合不良，线圈电压正常但触点未闭合,0.48
液压缸活塞杆变形，伸出时出现偏斜,继电器线圈烧毁，电阻值无穷大,0.23
继电器误动作，无输入信号时触点自行闭合,继电器触点烧蚀，接触电阻增大至5Ω,0.47
传感器量程超限，显示值固定为最大值,传感器无输出信号，接线端子接触不良,0.45
PLC输入输出点I0.2损坏，无信号输入,PLC输入输出点I0.2损坏，无信号输入,0.44
液压缸活塞杆变形，伸出时出现偏斜,液压缸动作卡顿，换向时出现滞涩现象,0.94
液压缸动作卡顿，换向时出现滞涩现象,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.51
变频器频率漂移，设定50Hz实际输出45Hz,变频器散热风扇故障，散热片温度达75℃,0.56
传感器抗干扰差，受电磁干扰出现跳变,传感器响应延迟，信号滞后2秒,0.68
传感器数值漂移，测量值比实际值高10%,传感器量程超限，显示值固定为最大值,0.84
继电器接触不良，信号传输时断时续,继电器触点烧蚀，接触电阻增大至5Ω,0.87
PLC输入输出点I0.2损坏，无信号输入,PLC断电记忆丢失，参数恢复至出厂默认值,0.62
传感器抗干扰差，受电磁干扰出现跳变,传感器抗干扰差，受电磁干扰出现跳变,0.63
液压缸动作卡顿，换向时出现滞涩现象,液压缸活塞杆变形，伸出时出现偏斜,0.9
传感器无输出信号，接线端子接触不良,传感器量程超限，显示值固定为最大值,0.95
离心泵轴承发热，温度达75℃,离心泵密封泄漏，机械密封端面磨损,0.88
轴承滚珠破损，振动频谱出现冲击峰值,轴承磨损异响，运转时出现周期性异音,0.44
离心泵密封泄漏，机械密封端面磨损,离心泵流量不足，出口管路堵塞,0.92
离心泵轴承发热，温度达75℃,PLC输入输出点I0.2损坏，无信号输入,0.0
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机过载停机，故障代码E012，需重启复位,0.9
轴承滚珠破损，振动频谱出现冲击峰值,轴承滚珠破损，振动频谱出现冲击峰值,0.54
PLC输入输出点I0.2损坏，无信号输入,PLC输入输出点I0.2损坏，无信号输入,0.69
轴承温升过高，连续运行2小时后温度达80℃,轴承润滑脂干涸，出现干摩擦异响,0.99
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机连续运行8小时后出现异响，振动值超额定20%,0.69
继电器触点烧蚀，接触电阻增大至5Ω,继电器触点烧蚀，接触电阻增大至5Ω,0.59
液压缸缓冲装置失效，行程末端冲击过大,液压缸活塞杆变形，伸出时出现偏斜,0.81
轴承磨损异响，运转时出现周期性异音,轴承磨损异响，运转时出现周期性异音,0.65
离心泵轴承发热，温度达75℃,离心泵叶轮磨损，流量下降至额定70%,0.58
离心泵密封泄漏，机械密封端面磨损,离心泵轴承发热，温度达75℃,0.46
PLC信号丢失，传感器反馈数据无更新,PLC断电记忆丢失，参数恢复至出厂默认值,0.48
继电器吸合不良，线圈电压正常但触点未闭合,继电器吸合不良，线圈电压正常但触点未闭合,0.55
液压缸活塞杆变形，伸出时出现偏斜,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.54
离心泵密封泄漏，机械密封端面磨损,离心泵流量不足，出口管路堵塞,0.44
传感器无输出信号，接线端子接触不良,传感器响应延迟，信号滞后2秒,0.99
离心泵密封泄漏，机械密封端面磨损,离心泵轴承发热，温度达75℃,0.46
电机连续运行8小时后出现异响，振动值超额定20%,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.43
液压缸压力不足，工作压力仅达额定60%,液压缸活塞杆变形，伸出时出现偏斜,0.48
PLC程序报错，梯形图逻辑错误导致误动作,PLC通讯故障，与变频器的Modbus连接中断,0.5
传感器数值漂移，测量值比实际值高10%,传感器响应延迟，信号滞后2秒,0.51
传感器无输出信号，接线端子接触不良,传感器无输出信号，接线端子接触不良,0.67
电机连续运行8小时后出现异响，振动值超额定20%,电机过载停机，故障代码E012，需重启复位,1.0
轴承滚珠破损，振动频谱出现冲击峰值,轴承磨损异响，运转时出现周期性异音,0.5
轴承磨损异响，运转时出现周期性异音,轴承滚珠破损，振动频谱出现冲击峰值,0.82
液压缸动作卡顿，换向时出现滞涩现象,液压缸活塞杆变形，伸出时出现偏斜,0.64
传感器响应延迟，信号滞后2秒,离心泵轴承发热，温度达75℃,0.29
继电器触点烧蚀，接触电阻增大至5Ω,继电器吸合不良，线圈电压正常但触点未闭合,0.47
传感器抗干扰差，受电磁干扰出现跳变,液压缸动作卡顿，换向时出现滞涩现象,0.28
轴承磨损异响，运转时出现周期性异音,轴承温升过高，连续运行2小时后温度达80℃,0.93
电机负载达额定120%时出现过热，绕组温度升至105℃,变频器散热风扇故障，散热片温度达75℃,0.11
变频器散热风扇故障，散热片温度达75℃,轴承磨损异响，运转时出现周期性异音,0.03
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸缓冲装置失效，行程末端冲击过大,0.65
电机轴承润滑不足导致转速异常，输出转速波动±5%,变频器散热风扇故障，散热片温度达75℃,0.23
PLC断电记忆丢失，参数恢复至出厂默认值,PLC信号丢失，传感器反馈数据无更新,0.94
传感器抗干扰差，受电磁干扰出现跳变,传感器数值漂移，测量值比实际值高10%,0.86
轴承间隙过大，径向游隙超0.15mm,轴承间隙过大，径向游隙超0.15mm,0.54
传感器量程超限，显示值固定为最大值,传感器抗干扰差，受电磁干扰出现跳变,0.99
离心泵空转异响，进口阀门未打开导致气蚀,继电器线圈烧毁，电阻值无穷大,0.1
离心泵流量不足，出口管路堵塞,离心泵密封泄漏，机械密封端面磨损,0.61
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸压力不足，工作压力仅达额定60%,1.0
PLC信号丢失，传感器反馈数据无更新,离心泵叶轮磨损，流量下降至额定70%,0.04
继电器吸合不良，线圈电压正常但触点未闭合,继电器线圈烧毁，电阻值无穷大,0.63
传感器无输出信号，接线端子接触不良,继电器触点烧蚀，接触电阻增大至5Ω,0.24
变频器频率漂移，设定50Hz实际输出45Hz,变频器过流跳闸，输出电流超额定30%,0.46
轴承温升过高，连续运行2小时后温度达80℃,轴承滚珠破损，振动频谱出现冲击峰值,0.51
离心泵叶轮磨损，流量下降至额定70%,离心泵空转异响，进口阀门未打开导致气蚀,0.6
电机负载达额定120%时出现过热，绕组温度升至105℃,传感器响应延迟，信号滞后2秒,0.08
离心泵密封泄漏，机械密封端面磨损,离心泵流量不足，出口管路堵塞,0.57
液压缸活塞杆变形，伸出时出现偏斜,液压缸压力不足，工作压力仅达额定60%,0.91
变频器参数紊乱，加速时间被异常修改,传感器量程超限，显示值固定为最大值,0.22
PLC信号丢失，传感器反馈数据无更新,PLC信号丢失，传感器反馈数据无更新,0.61
轴承磨损异响，运转时出现周期性异音,PLC程序报错，梯形图逻辑错误导致误动作,0.18
传感器量程超限，显示值固定为最大值,传感器响应延迟，信号滞后2秒,0.48
继电器吸合不良，线圈电压正常但触点未闭合,继电器吸合不良，线圈电压正常但触点未闭合,0.7
传感器抗干扰差，受电磁干扰出现跳变,传感器无输出信号，接线端子接触不良,0.87
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机负载达额定120%时出现过热，绕组温度升至105℃,0.84
离心泵空转异响，进口阀门未打开导致气蚀,离心泵密封泄漏，机械密封端面磨损,0.95
液压缸缓冲装置失效，行程末端冲击过大,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.6
电机负载达额定120%时出现过热，绕组温度升至105℃,电机连续运行8小时后出现异响，振动值超额定20%,0.9
继电器吸合不良，线圈电压正常但触点未闭合,传感器量程超限，显示值固定为最大值,0.14
离心泵密封泄漏，机械密封端面磨损,电机过载停机，故障代码E012，需重启复位,0.01
离心泵空转异响，进口阀门未打开导致气蚀,离心泵叶轮磨损，流量下降至额定70%,0.81
离心泵流量不足，出口管路堵塞,离心泵轴承发热，温度达75℃,0.89
变频器过流跳闸，输出电流超额定30%,变频器过压报警，直流母线电压达800V,0.69
PLC输入输出点I0.2损坏，无信号输入,PLC程序报错，梯形图逻辑错误导致误动作,0.92
离心泵空转异响，进口阀门未打开导致气蚀,离心泵流量不足，出口管路堵塞,0.62
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸缓冲装置失效，行程末端冲击过大,0.61
离心泵空转异响，进口阀门未打开导致气蚀,离心泵密封泄漏，机械密封端面磨损,0.99
变频器散热风扇故障，散热片温度达75℃,变频器过流跳闸，输出电流超额定30%,0.64
液压缸压力不足，工作压力仅达额定60%,液压缸缓冲装置失效，行程末端冲击过大,0.96
液压缸活塞杆变形，伸出时出现偏斜,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.86
变频器过流跳闸，输出电流超额定30%,变频器过压报警，直流母线电压达800V,0.52
液压缸活塞杆变形，伸出时出现偏斜,液压缸缓冲装置失效，行程末端冲击过大,0.67
变频器过流跳闸，输出电流超额定30%,变频器频率漂移，设定50Hz实际输出45Hz,0.49
轴承滚珠破损，振动频谱出现冲击峰值,轴承磨损异响，运转时出现周期性异音,0.52
液压缸压力不足，工作压力仅达额定60%,液压缸活塞杆变形，伸出时出现偏斜,0.7
电机连续运行8小时后出现异响，振动值超额定20%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.91
轴承间隙过大，径向游隙超0.15mm,轴承温升过高，连续运行2小时后温度达80℃,0.56
PLC通讯故障，与变频器的Modbus连接中断,PLC断电记忆丢失，参数恢复至出厂默认值,0.46
PLC输入输出点I0.2损坏，无信号输入,变频器过流跳闸，输出电流超额定30%,0.26
PLC程序报错，梯形图逻辑错误导致误动作,PLC信号丢失，传感器反馈数据无更新,0.53
PLC信号丢失，传感器反馈数据无更新,PLC程序报错，梯形图逻辑错误导致误动作,1.0
继电器触点烧蚀，接触电阻增大至5Ω,继电器误动作，无输入信号时触点自行闭合,0.61
传感器量程超限，显示值固定为最大值,传感器无输出信号，接线端子接触不良,0.52
离心泵密封泄漏，机械密封端面磨损,离心泵流量不足，出口管路堵塞,0.99
电机连续运行8小时后出现异响，振动值超额定20%,变频器散热风扇故障，散热片温度达75℃,0.15
离心泵密封泄漏，机械密封端面磨损,离心泵密封泄漏，机械密封端面磨损,0.7
PLC输入输出点I0.2损坏，无信号输入,PLC断电记忆丢失，参数恢复至出厂默认值,0.6
继电器触点烧蚀，接触电阻增大至5Ω,继电器吸合不良，线圈电压正常但触点未闭合,0.89
传感器数值漂移，测量值比实际值高10%,传感器量程超限，显示值固定为最大值,0.56
传感器无输出信号，接线端子接触不良,传感器量程超限，显示值固定为最大值,0.94
变频器过流跳闸，输出电流超额定30%,变频器散热风扇故障，散热片温度达75℃,0.87
PLC通讯故障，与变频器的Modbus连接中断,PLC程序报错，梯形图逻辑错误导致误动作,0.4
离心泵流量不足，出口管路堵塞,离心泵空转异响，进口阀门未打开导致气蚀,0.55
PLC断电记忆丢失，参数恢复至出厂默认值,PLC信号丢失，传感器反馈数据无更新,0.56
电机过载停机，故障代码E012，需重启复位,电机连续运行8小时后出现异响，振动值超额定20%,0.52
液压缸压力不足，工作压力仅达额定60%,液压缸活塞杆变形，伸出时出现偏斜,0.82
电机负载达额定120%时出现过热，绕组温度升至105℃,变频器参数紊乱，加速时间被异常修改,0.14
电机过载停机，故障代码E012，需重启复位,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.48
变频器过流跳闸，输出电流超额定30%,变频器参数紊乱，加速时间被异常修改,0.45
继电器线圈烧毁，电阻值无穷大,电机过载停机，故障代码E012，需重启复位,0.27
PLC断电记忆丢失，参数恢复至出厂默认值,PLC程序报错，梯形图逻辑错误导致误动作,0.64
继电器接触不良，信号传输时断时续,继电器吸合不良，线圈电压正常但触点未闭合,0.98
离心泵叶轮磨损，流量下降至额定70%,离心泵叶轮磨损，流量下降至额定70%,0.67
液压缸活塞杆变形，伸出时出现偏斜,变频器参数紊乱，加速时间被异常修改,0.25
轴承磨损异响，运转时出现周期性异音,轴承润滑脂干涸，出现干摩擦异响,0.47
电机负载达额定120%时出现过热，绕组温度升至105℃,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.89
PLC输入输出点I0.2损坏，无信号输入,PLC程序报错，梯形图逻辑错误导致误动作,0.84
传感器响应延迟，信号滞后2秒,传感器抗干扰差，受电磁干扰出现跳变,0.68
变频器散热风扇故障，散热片温度达75℃,变频器参数紊乱，加速时间被异常修改,0.62
传感器数值漂移，测量值比实际值高10%,PLC通讯故障，与变频器的Modbus连接中断,0.16
传感器抗干扰差，受电磁干扰出现跳变,传感器数值漂移，测量值比实际值高10%,0.47
传感器抗干扰差，受电磁干扰出现跳变,传感器抗干扰差，受电磁干扰出现跳变,0.55
PLC输入输出点I0.2损坏，无信号输入,继电器线圈烧毁，电阻值无穷大,0.01
传感器量程超限，显示值固定为最大值,PLC信号丢失，传感器反馈数据无更新,0.27
传感器响应延迟，信号滞后2秒,传感器量程超限，显示值固定为最大值,0.42
液压缸压力不足，工作压力仅达额定60%,离心泵流量不足，出口管路堵塞,0.19
离心泵叶轮磨损，流量下降至额定70%,离心泵空转异响，进口阀门未打开导致气蚀,0.61
离心泵空转异响，进口阀门未打开导致气蚀,离心泵密封泄漏，机械密封端面磨损,0.51
变频器散热风扇故障，散热片温度达75℃,轴承温升过高，连续运行2小时后温度达80℃,0.23
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机过载停机，故障代码E012，需重启复位,0.56
继电器触点烧蚀，接触电阻增大至5Ω,继电器线圈烧毁，电阻值无穷大,0.52
PLC断电记忆丢失，参数恢复至出厂默认值,PLC通讯故障，与变频器的Modbus连接中断,0.49
离心泵轴承发热，温度达75℃,传感器量程超限，显示值固定为最大值,0.06
离心泵流量不足，出口管路堵塞,离心泵空转异响，进口阀门未打开导致气蚀,0.55
变频器过压报警，直流母线电压达800V,变频器过流跳闸，输出电流超额定30%,0.52
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸活塞杆变形，伸出时出现偏斜,0.84
PLC通讯故障，与变频器的Modbus连接中断,PLC通讯故障，与变频器的Modbus连接中断,0.56
轴承滚珠破损，振动频谱出现冲击峰值,轴承温升过高，连续运行2小时后温度达80℃,0.53
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.86
PLC断电记忆丢失，参数恢复至出厂默认值,PLC输入输出点I0.2损坏，无信号输入,0.51
离心泵叶轮磨损，流量下降至额定70%,离心泵密封泄漏，机械密封端面磨损,0.83
离心泵叶轮磨损，流量下降至额定70%,离心泵流量不足，出口管路堵塞,0.82
继电器线圈烧毁，电阻值无穷大,继电器误动作，无输入信号时触点自行闭合,0.67
继电器触点烧蚀，接触电阻增大至5Ω,继电器误动作，无输入信号时触点自行闭合,0.69
轴承滚珠破损，振动频谱出现冲击峰值,轴承间隙过大，径向游隙超0.15mm,0.83
轴承磨损异响，运转时出现周期性异音,轴承温升过高，连续运行2小时后温度达80℃,0.88
离心泵密封泄漏，机械密封端面磨损,离心泵叶轮磨损，流量下降至额定70%,0.87
电机负载达额定120%时出现过热，绕组温度升至105℃,传感器量程超限，显示值固定为最大值,0.11
变频器频率漂移，设定50Hz实际输出45Hz,PLC断电记忆丢失，参数恢复至出厂默认值,0.01
继电器线圈烧毁，电阻值无穷大,继电器吸合不良，线圈电压正常但触点未闭合,0.54
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机连续运行8小时后出现异响，振动值超额定20%,0.43
轴承润滑脂干涸，出现干摩擦异响,轴承磨损异响，运转时出现周期性异音,0.8
离心泵轴承发热，温度达75℃,轴承温升过高，连续运行2小时后温度达80℃,0.23
变频器散热风扇故障，散热片温度达75℃,变频器参数紊乱，加速时间被异常修改,0.64
液压缸缓冲装置失效，行程末端冲击过大,液压缸缓冲装置失效，行程末端冲击过大,0.66
变频器过压报警，直流母线电压达800V,变频器过流跳闸，输出电流超额定30%,0.65
传感器无输出信号，接线端子接触不良,PLC输入输出点I0.2损坏，无信号输入,0.17
电机连续运行8小时后出现异响，振动值超额定20%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.64
电机负载达额定120%时出现过热，绕组温度升至105℃,电机连续运行8小时后出现异响，振动值超额定20%,0.94
传感器抗干扰差，受电磁干扰出现跳变,传感器响应延迟，信号滞后2秒,0.86
轴承温升过高，连续运行2小时后温度达80℃,变频器频率漂移，设定50Hz实际输出45Hz,0.19
PLC信号丢失，传感器反馈数据无更新,PLC程序报错，梯形图逻辑错误导致误动作,0.59
轴承间隙过大，径向游隙超0.15mm,轴承磨损异响，运转时出现周期性异音,0.86
传感器数值漂移，测量值比实际值高10%,传感器无输出信号，接线端子接触不良,0.97
