fault_text1_clean,fault_text2_clean,semantic_similarity,data_source
轴承温升过高 连续运行2小时后温度达80,轴承温升过高 连续运行2小时后温度达80,0.42,original
PLC通讯故障 与变频器的Modbus连接中断,PLC通讯故障 与变频器的Modbus连接中断,0.57,original
继电器触点烧蚀 接触电阻增大至5Ω,变频器过压报警 直流母线电压达800V,0.63,generated
离心泵密封泄漏 机械密封端面磨损,周期性离心泵密封泄漏 机械密封端面磨损,0.87,generated
离心泵叶轮磨损 流量下降至额定70,离心泵轴承发热 温度达75,0.98,original
传感器抗干扰差 受电磁干扰出现跳变,传感器抗干扰差 受电磁干扰出现跳变,0.45,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC断电记忆丢失 参数恢复至出厂默认值,0.63,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸动作卡顿 换向时出现滞涩现象,0.47,original
继电器线圈烧毁 电阻值无穷大,继电器误动作 无输入信号时触点自行闭合,0.69,original
电机负载达额定120 时出现过热 绕组温度升至105,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.49,original
传感器抗干扰差 受电磁干扰出现跳变,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.22,original
电机负载达额定120 时出现过热 绕组温度升至105,传感器数值漂移 测量值比实际值高10,0.06,generated
PLC程序报错 梯形图逻辑错误导致误动作,PLC通讯故障 与变频器的Modbus连接中断,0.9,original
变频器过流跳闸 输出电流超额定30,变频器过压报警 直流母线电压达800V,0.56,original
轴承间隙过大 径向游隙超0 15mm,轴承磨损异响 运转时出现周期性异音,0.99,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,传感器无输出信号 接线端子接触不良,0.14,original
离心泵流量不足 出口管路堵塞,轴承温升过高 连续运行2小时后温度达80,0.21,original
液压缸压力不足 工作压力仅达额定60,PLC程序报错 梯形图逻辑错误导致误动作,0.14,original
传感器量程超限 显示值固定为最大值,传感器无输出信号 接线端子接触不良,0.87,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC信号丢失 传感器反馈数据无更新,0.57,original
继电器接触不良 信号传输时断时续,继电器接触不良 周期性信号传输时断时续,0.69,generated
PLC输入输出点I0 2损坏 无信号输入,变频器过流跳闸 输出电流超额定30,0.26,original
液压缸缓冲装置失效 行程末端冲击过大,液压缸活塞杆变形 伸出时出现偏斜,0.57,original
变频器过压报警 直流母线电压达800V,变频器频率漂移 设定50Hz实际输出45Hz,0.42,original
PLC信号丢失 传感器反馈数据无更新,传感器响应延迟 信号滞后2秒,0.1,generated
液压缸缓冲装置失效 行程末端冲击过大,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.41,original
轴承润滑脂干涸 出现干摩擦异响,轴承润滑脂干涸 湿度增大后出现干摩擦异响,0.96,generated
液压缸活塞杆变形 伸出时出现偏斜,液压缸动作卡顿 换向时出现滞涩现象,0.65,original
电机轴承润滑不足导致转速异常 输出转速波动 5,继电器吸合不良 线圈电压正常但触点未闭合,0.26,generated
电机负载达额定120 时出现过热 绕组温度升至105,电机连续运行8小时后出现异响 振动值超额定20,0.96,original
轴承磨损异响 运转时出现周期性异音,轴承润滑脂干涸 出现干摩擦异响,0.45,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机负载达额定120 时出现过热 绕组温度升至105,0.42,original
电机轴承润滑不足导致转速异常 输出转速波动 5,继电器吸合不良 线圈电压正常但触点未闭合,0.04,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵流量不足 出口管路堵塞,0.64,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.46,original
传感器数值漂移 测量值比实际值高10,PLC信号丢失 传感器反馈数据无更新,0.64,generated
离心泵叶轮磨损 流量下降至额定70,继电器接触不良 信号传输时断时续,0.56,generated
离心泵空转异响 进口阀门未打开导致气蚀,离心泵密封泄漏 机械密封端面磨损,0.87,original
离心泵密封泄漏 机械密封端面磨损,离心泵空转异响 进口阀门未打开导致气蚀,0.08,generated
离心泵密封泄漏 机械密封端面磨损,离心泵空转异响 进口阀门未打开导致气蚀,0.45,original
液压缸压力不足 工作压力仅达额定60,变频器频率漂移 设定50Hz实际输出45Hz,0.01,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器线圈烧毁 电阻值无穷大,0.93,original
继电器吸合不良 线圈电压正常但触点未闭合,离心泵叶轮磨损 流量下降至额定70,0.19,generated
电机负载达额定120 时出现过热 绕组温度升至105,在负载增加时电机负载达额定120 时出现过热 绕组温度升至105,0.97,generated
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸压力不足 工作压力仅达额定60,1.0,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC断电记忆丢失 频繁参数恢复至出厂默认值,0.99,generated
轴承润滑脂干涸 出现干摩擦异响,轴承润滑脂干涸 出现干摩擦异响,0.71,generated
轴承滚珠破损 振动频谱出现冲击峰值,继电器吸合不良 线圈电压正常但触点未闭合,0.1,original
离心泵轴承发热 温度达75,离心泵空转异响 进口阀门未打开导致气蚀,0.42,original
轴承润滑脂干涸 出现干摩擦异响,轴承滚珠破损 振动频谱出现冲击峰值,0.48,original
PLC输入输出点I0 2损坏 无信号输入,PLC程序报错 梯形图逻辑错误导致误动作,0.87,generated
PLC信号丢失 传感器反馈数据无更新,PLC信号丢失 传感器反馈数据无更新,0.53,original
继电器误动作 无输入信号时触点自行闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.48,original
继电器误动作 无输入信号时触点自行闭合,严重继电器误动作 无输入信号时触点自行闭合,0.84,generated
电机轴承润滑不足导致转速异常 输出转速波动 5,频繁电机轴承润滑不足导致转速异常 输出转速波动 5,0.89,generated
变频器参数紊乱 加速时间被异常修改,变频器频率漂移 设定50Hz实际输出45Hz,0.86,original
轴承磨损异响 运转时出现周期性异音,轴承温升过高 连续运行2小时后温度达80,0.52,original
传感器响应延迟 信号滞后2秒,传感器抗干扰差 受电磁干扰出现跳变,0.42,original
传感器无输出信号 接线端子接触不良,传感器数值漂移 测量值比实际值高10,0.49,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC程序报错 梯形图逻辑错误导致误动作,0.43,original
变频器参数紊乱 加速时间被异常修改,变频器频率漂移 设定50Hz实际输出45Hz,0.87,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC断电记忆丢失 参数恢复至出厂默认值,0.61,original
传感器抗干扰差 受电磁干扰出现跳变,传感器响应延迟 信号滞后2秒,0.86,original
PLC输入输出点I0 2损坏 无信号输入,继电器吸合不良 线圈电压正常但触点未闭合,0.14,generated
液压缸动作卡顿 换向时出现滞涩现象,液压缸动作卡顿 换向时出现滞涩现象,0.64,original
PLC输入输出点I0 2损坏 无信号输入,PLC断电记忆丢失 参数恢复至出厂默认值,0.99,original
液压缸压力不足 工作压力仅达额定60,液压缸动作卡顿 换向时出现滞涩现象,0.49,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.96,original
液压缸压力不足 工作压力仅达额定60,液压缸缓冲装置失效 行程末端冲击过大,0.96,original
传感器抗干扰差 受电磁干扰出现跳变,传感器数值漂移 测量值比实际值高10,0.66,original
传感器响应延迟 信号滞后2秒,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.84,generated
PLC程序报错 梯形图逻辑错误导致误动作,PLC断电记忆丢失 参数恢复至出厂默认值,0.42,original
液压缸压力不足 工作压力仅达额定60,PLC断电记忆丢失 参数恢复至出厂默认值,0.33,generated
电机负载达额定120 时出现过热 绕组温度升至105,离心泵密封泄漏 机械密封端面磨损,0.19,original
液压缸缓冲装置失效 行程末端冲击过大,液压缸动作卡顿 换向时出现滞涩现象,0.62,original
PLC通讯故障 与变频器的Modbus连接中断,PLC输入输出点I0 2损坏 无信号输入,0.99,original
轴承间隙过大 径向游隙超0 15mm,轴承滚珠破损 振动频谱出现冲击峰值,0.91,original
传感器无输出信号 接线端子接触不良,传感器无输出信号 接线端子接触不良,0.53,original
轴承间隙过大 径向游隙超0 15mm,轴承磨损异响 运转时出现周期性异音,0.85,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC通讯故障 与变频器的Modbus连接中断,0.8,original
电机负载达额定120 时出现过热 绕组温度升至105,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.66,original
电机过载停机 故障代码E012 需重启复位,电机负载达额定120 时出现过热 绕组温度升至105,0.45,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机负载达额定120 时出现过热 绕组温度升至105,0.42,original
PLC信号丢失 传感器反馈数据无更新,传感器响应延迟 信号滞后2秒,0.16,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机连续运行8小时后出现异响 振动值超额定20,0.65,original
电机连续运行8小时后出现异响 振动值超额定20,PLC程序报错 梯形图逻辑错误导致误动作,0.29,original
电机负载达额定120 时出现过热 绕组温度升至105,电机连续运行8小时后出现异响 振动值超额定20,0.89,original
液压缸缓冲装置失效 行程末端冲击过大,离心泵空转异响 进口阀门未打开导致气蚀,0.05,original
电机过载停机 故障代码E012 需重启复位,轴承润滑脂干涸 出现干摩擦异响,0.62,generated
液压缸活塞杆变形 伸出时出现偏斜,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.48,original
轴承间隙过大 径向游隙超0 15mm,轴承润滑脂干涸 出现干摩擦异响,0.82,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承润滑脂干涸 出现干摩擦异响,0.59,original
变频器过压报警 直流母线电压达800V,变频器散热风扇故障 散热片温度达75,0.54,original
变频器散热风扇故障 散热片温度达75,变频器参数紊乱 加速时间被异常修改,0.53,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器散热风扇故障 散热片温度达75,0.56,original
传感器抗干扰差 受电磁干扰出现跳变,离心泵轴承发热 温度达75,0.13,generated
PLC断电记忆丢失 参数恢复至出厂默认值,PLC程序报错 梯形图逻辑错误导致误动作,0.42,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵叶轮磨损 流量下降至额定70,0.97,original
离心泵叶轮磨损 流量下降至额定70,离心泵空转异响 进口阀门未打开导致气蚀,0.83,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸缓冲装置失效 行程末端冲击过大,0.87,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器线圈烧毁 电阻值无穷大,0.9,original
离心泵密封泄漏 机械密封端面磨损,离心泵轴承发热 温度达75,0.95,original
轴承润滑脂干涸 出现干摩擦异响,轴承润滑脂干涸 出现干摩擦异响,0.69,generated
电机轴承润滑不足导致转速异常 输出转速波动 5,电机连续运行8小时后出现异响 振动值超额定20,0.69,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器散热风扇故障 散热片温度达75,0.22,generated
电机负载达额定120 时出现过热 绕组温度升至105,液压缸压力不足 工作压力仅达额定60,0.41,generated
PLC输入输出点I0 2损坏 无信号输入,PLC输入输出点I0 2损坏 无信号输入,0.67,original
轴承润滑脂干涸 出现干摩擦异响,轴承温升过高 连续运行2小时后温度达80,0.81,original
变频器参数紊乱 加速时间被异常修改,变频器频率漂移 设定50Hz实际输出45Hz,0.65,original
传感器抗干扰差 受电磁干扰出现跳变,液压缸动作卡顿 换向时出现滞涩现象,0.28,original
继电器线圈烧毁 电阻值无穷大,继电器接触不良 信号传输时断时续,0.87,original
离心泵叶轮磨损 流量下降至额定70,传感器无输出信号 接线端子接触不良,0.03,original
继电器误动作 无输入信号时触点自行闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.47,original
传感器响应延迟 信号滞后2秒,传感器抗干扰差 受电磁干扰出现跳变,0.04,generated
液压缸活塞杆变形 伸出时出现偏斜,液压缸缓冲装置失效 行程末端冲击过大,0.44,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承温升过高 连续运行2小时后温度达80,0.82,original
离心泵空转异响 进口阀门未打开导致气蚀,PLC信号丢失 传感器反馈数据无更新,0.02,generated
继电器误动作 无输入信号时触点自行闭合,继电器线圈烧毁 电阻值无穷大,0.68,original
电机负载达额定120 时出现过热 绕组温度升至105,电机轴承润滑不足导致转速异常 输出转速波动 5,0.99,original
轴承温升过高 连续运行2小时后温度达80,轴承间隙过大 径向游隙超0 15mm,0.59,original
PLC信号丢失 传感器反馈数据无更新,离心泵空转异响 进口阀门未打开导致气蚀,0.05,original
变频器参数紊乱 加速时间被异常修改,变频器过压报警 直流母线电压达800V,0.44,original
液压缸压力不足 工作压力仅达额定60,液压缸压力不足 工作压力仅达额定60,0.43,original
变频器过流跳闸 输出电流超额定30,变频器频率漂移 设定50Hz实际输出45Hz,0.91,original
PLC信号丢失 传感器反馈数据无更新,PLC输入输出点I0 2损坏 无信号输入,0.81,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.46,original
继电器接触不良 信号传输时断时续,继电器吸合不良 线圈电压正常但触点未闭合,0.94,original
轴承磨损异响 运转时出现周期性异音,轴承润滑脂干涸 出现干摩擦异响,0.93,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器接触不良 信号传输时断时续,0.48,original
液压缸压力不足 工作压力仅达额定60,液压缸动作卡顿 换向时出现滞涩现象,0.64,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC断电记忆丢失 参数恢复至出厂默认值,0.54,original
变频器过压报警 直流母线电压达800V,继电器线圈烧毁 电阻值无穷大,0.11,generated
PLC输入输出点I0 2损坏 无信号输入,传感器响应延迟 信号滞后2秒,0.85,generated
继电器吸合不良 线圈电压正常但触点未闭合,继电器线圈烧毁 电阻值无穷大,0.48,original
电机负载达额定120 时出现过热 绕组温度升至105,电机过载停机 故障代码E012 需重启复位,0.84,original
电机连续运行8小时后出现异响 振动值超额定20,变频器频率漂移 设定50Hz实际输出45Hz,0.21,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC输入输出点I0 2损坏 无信号输入,0.94,original
继电器接触不良 信号传输时断时续,传感器量程超限 显示值固定为最大值,0.06,original
电机过载停机 故障代码E012 需重启复位,继电器线圈烧毁 电阻值无穷大,0.12,original
传感器量程超限 显示值固定为最大值,PLC信号丢失 传感器反馈数据无更新,0.27,original
传感器抗干扰差 受电磁干扰出现跳变,传感器抗干扰差 受电磁干扰出现跳变,0.55,original
轴承磨损异响 运转时出现周期性异音,轴承间隙过大 径向游隙超0 15mm,0.61,original
继电器接触不良 信号传输时断时续,继电器吸合不良 线圈电压正常但触点未闭合,0.59,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机负载达额定120 时出现过热 绕组温度升至105,0.86,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC程序报错 梯形图逻辑错误导致误动作,0.62,original
PLC断电记忆丢失 参数恢复至出厂默认值,在停机时PLC断电记忆丢失 参数恢复至出厂默认值,0.86,generated
液压缸缓冲装置失效 行程末端冲击过大,液压缸缓冲装置失效 行程末端冲击过大,0.4,original
轴承间隙过大 径向游隙超0 15mm,轴承间隙过大 周期性径向游隙超0 15mm,0.63,generated
电机连续运行8小时后出现异响 振动值超额定20,轴承温升过高 连续运行2小时后温度达80,0.07,generated
离心泵流量不足 出口管路堵塞,偶尔离心泵流量不足 出口管路堵塞,0.88,generated
离心泵轴承发热 温度达75,离心泵流量不足 出口管路堵塞,0.57,generated
电机过载停机 故障代码E012 需重启复位,轴承润滑脂干涸 出现干摩擦异响,0.21,original
液压缸缓冲装置失效 行程末端冲击过大,液压缸压力不足 工作压力仅达额定60,0.63,original
传感器响应延迟 信号滞后2秒,PLC程序报错 梯形图逻辑错误导致误动作,0.16,generated
PLC断电记忆丢失 参数恢复至出厂默认值,在运行中PLC断电记忆丢失 参数恢复至出厂默认值,0.64,generated
传感器无输出信号 接线端子接触不良,传感器响应延迟 信号滞后2秒,0.93,original
PLC输入输出点I0 2损坏 无信号输入,PLC输入输出点I0 2损坏 无信号输入,0.49,original
传感器响应延迟 信号滞后2秒,传感器量程超限 显示值固定为最大值,0.5,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC信号丢失 传感器反馈数据无更新,0.94,original
轴承润滑脂干涸 出现干摩擦异响,液压缸活塞杆变形 伸出时出现偏斜,0.13,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸压力不足 工作压力仅达额定60,0.93,original
传感器量程超限 显示值固定为最大值,传感器量程超限 显示值固定为最大值,0.66,original
轴承间隙过大 径向游隙超0 15mm,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.04,original
液压缸压力不足 工作压力仅达额定60,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.45,original
PLC信号丢失 传感器反馈数据无更新,PLC断电记忆丢失 参数恢复至出厂默认值,0.48,original
继电器触点烧蚀 接触电阻增大至5Ω,继电器接触不良 信号传输时断时续,0.7,original
传感器无输出信号 接线端子接触不良,传感器无输出信号 电流不稳时接线端子接触不良,0.7,generated
PLC程序报错 梯形图逻辑错误导致误动作,PLC输入输出点I0 2损坏 无信号输入,0.47,original
离心泵流量不足 出口管路堵塞,离心泵密封泄漏 机械密封端面磨损,0.81,original
继电器误动作 无输入信号时触点自行闭合,继电器线圈烧毁 电阻值无穷大,0.86,original
传感器无输出信号 接线端子接触不良,传感器响应延迟 信号滞后2秒,0.97,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.53,original
电机过载停机 故障代码E012 需重启复位,电机过载停机 故障代码E012 需重启复位,0.7,original
继电器线圈烧毁 电阻值无穷大,在启动时继电器线圈烧毁 电阻值无穷大,0.64,generated
离心泵空转异响 进口阀门未打开导致气蚀,周期性离心泵空转异响 进口阀门未打开导致气蚀,0.73,generated
传感器量程超限 显示值固定为最大值,传感器响应延迟 信号滞后2秒,0.79,generated
PLC信号丢失 传感器反馈数据无更新,PLC断电记忆丢失 参数恢复至出厂默认值,0.86,original
轴承润滑脂干涸 出现干摩擦异响,变频器过压报警 直流母线电压达800V,0.87,generated
变频器过压报警 直流母线电压达800V,变频器散热风扇故障 散热片温度达75,0.45,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC输入输出点I0 2损坏 无信号输入,0.49,original
电机过载停机 故障代码E012 需重启复位,电机轴承润滑不足导致转速异常 输出转速波动 5,0.64,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.98,original
继电器线圈烧毁 电阻值无穷大,PLC信号丢失 传感器反馈数据无更新,0.05,generated
液压缸压力不足 工作压力仅达额定60,液压缸活塞杆变形 伸出时出现偏斜,0.48,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸动作卡顿 换向时出现滞涩现象,0.95,original
继电器线圈烧毁 电阻值无穷大,液压缸动作卡顿 换向时出现滞涩现象,0.26,original
轴承润滑脂干涸 出现干摩擦异响,轴承磨损异响 运转时出现周期性异音,0.52,original
轴承润滑脂干涸 出现干摩擦异响,传感器量程超限 显示值固定为最大值,0.01,original
传感器量程超限 显示值固定为最大值,传感器数值漂移 测量值比实际值高10,0.65,original
离心泵轴承发热 温度达75,继电器触点烧蚀 接触电阻增大至5Ω,0.2,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵密封泄漏 机械密封端面磨损,0.6,original
轴承润滑脂干涸 出现干摩擦异响,液压缸动作卡顿 换向时出现滞涩现象,0.53,generated
离心泵轴承发热 温度达75,离心泵空转异响 进口阀门未打开导致气蚀,0.92,original
变频器过流跳闸 输出电流超额定30,液压缸活塞杆变形 伸出时出现偏斜,0.4,generated
液压缸动作卡顿 换向时出现滞涩现象,液压缸压力不足 工作压力仅达额定60,0.46,original
离心泵叶轮磨损 流量下降至额定70,离心泵密封泄漏 机械密封端面磨损,0.56,original
离心泵轴承发热 温度达75,离心泵轴承发热 温度达75,0.47,original
继电器触点烧蚀 接触电阻增大至5Ω,继电器误动作 无输入信号时触点自行闭合,0.82,original
变频器过压报警 直流母线电压达800V,液压缸动作卡顿 换向时出现滞涩现象,0.28,original
离心泵密封泄漏 机械密封端面磨损,离心泵密封泄漏 电压波动时机械密封端面磨损,0.83,generated
离心泵流量不足 出口管路堵塞,离心泵叶轮磨损 流量下降至额定70,0.93,original
电机轴承润滑不足导致转速异常 输出转速波动 5,PLC断电记忆丢失 参数恢复至出厂默认值,0.16,original
继电器误动作 无输入信号时触点自行闭合,继电器吸合不良 线圈电压正常但触点未闭合,0.8,original
电机连续运行8小时后出现异响 振动值超额定20,电机轴承润滑不足导致转速异常 输出转速波动 5,0.98,original
PLC信号丢失 传感器反馈数据无更新,电压波动时PLC信号丢失 传感器反馈数据无更新,0.85,generated
电机负载达额定120 时出现过热 绕组温度升至105,液压缸活塞杆变形 伸出时出现偏斜,0.69,generated
继电器吸合不良 线圈电压正常但触点未闭合,电机过载停机 故障代码E012 需重启复位,0.23,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC通讯故障 与变频器的Modbus连接中断,0.67,original
离心泵流量不足 出口管路堵塞,离心泵流量不足 间歇性出口管路堵塞,0.82,generated
继电器接触不良 信号传输时断时续,离心泵密封泄漏 机械密封端面磨损,0.73,generated
离心泵空转异响 进口阀门未打开导致气蚀,离心泵流量不足 出口管路堵塞,0.56,original
传感器抗干扰差 受电磁干扰出现跳变,传感器数值漂移 测量值比实际值高10,0.99,original
电机连续运行8小时后出现异响 振动值超额定20,电机连续运行8小时后出现异响 在停机时振动值超额定20,0.84,generated
液压缸活塞杆变形 伸出时出现偏斜,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.68,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸动作卡顿 换向时出现滞涩现象,0.81,original
继电器误动作 无输入信号时触点自行闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.84,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,轴承润滑脂干涸 出现干摩擦异响,0.1,generated
继电器吸合不良 线圈电压正常但触点未闭合,传感器量程超限 显示值固定为最大值,0.14,original
传感器抗干扰差 受电磁干扰出现跳变,传感器量程超限 显示值固定为最大值,0.82,original
电机过载停机 故障代码E012 需重启复位,电机连续运行8小时后出现异响 振动值超额定20,0.87,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,传感器无输出信号 接线端子接触不良,0.16,generated
变频器散热风扇故障 散热片温度达75,变频器过压报警 直流母线电压达800V,0.41,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器参数紊乱 加速时间被异常修改,0.99,original
传感器抗干扰差 受电磁干扰出现跳变,传感器数值漂移 测量值比实际值高10,0.44,original
传感器抗干扰差 受电磁干扰出现跳变,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.05,original
继电器误动作 无输入信号时触点自行闭合,周期性继电器误动作 无输入信号时触点自行闭合,0.69,generated
继电器接触不良 信号传输时断时续,传感器数值漂移 测量值比实际值高10,0.04,original
离心泵流量不足 出口管路堵塞,离心泵流量不足 出口管路堵塞,0.65,original
PLC输入输出点I0 2损坏 无信号输入,电机过载停机 故障代码E012 需重启复位,0.14,original
变频器过流跳闸 输出电流超额定30,PLC信号丢失 传感器反馈数据无更新,0.68,generated
液压缸压力不足 工作压力仅达额定60,液压缸缓冲装置失效 行程末端冲击过大,0.86,original
轴承温升过高 连续运行2小时后温度达80,轴承滚珠破损 振动频谱出现冲击峰值,0.5,original
电机连续运行8小时后出现异响 振动值超额定20,电机轴承润滑不足导致转速异常 输出转速波动 5,0.55,original
离心泵轴承发热 温度达75,离心泵叶轮磨损 流量下降至额定70,0.59,original
轴承温升过高 连续运行2小时后温度达80,轴承磨损异响 运转时出现周期性异音,0.57,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC程序报错 梯形图逻辑错误导致误动作,0.67,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机连续运行8小时后出现异响 振动值超额定20,0.51,original
电机负载达额定120 时出现过热 绕组温度升至105,电机轴承润滑不足导致转速异常 输出转速波动 5,0.65,original
PLC信号丢失 传感器反馈数据无更新,持续性PLC信号丢失 传感器反馈数据无更新,0.74,generated
PLC输入输出点I0 2损坏 无信号输入,PLC程序报错 梯形图逻辑错误导致误动作,0.69,original
轴承滚珠破损 振动频谱出现冲击峰值,变频器频率漂移 设定50Hz实际输出45Hz,0.0,original
离心泵空转异响 进口阀门未打开导致气蚀,传感器响应延迟 信号滞后2秒,0.03,generated
轴承间隙过大 径向游隙超0 15mm,轴承滚珠破损 振动频谱出现冲击峰值,0.87,original
电机连续运行8小时后出现异响 振动值超额定20,电机轴承润滑不足导致转速异常 输出转速波动 5,0.54,original
轴承润滑脂干涸 出现干摩擦异响,轴承间隙过大 径向游隙超0 15mm,0.92,original
继电器线圈烧毁 电阻值无穷大,轴承间隙过大 径向游隙超0 15mm,0.02,generated
轴承温升过高 连续运行2小时后温度达80,轴承间隙过大 径向游隙超0 15mm,0.41,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机轴承润滑不足导致转速异常 输出转速波动 5,0.43,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸动作卡顿 在启动时换向时出现滞涩现象,0.69,generated
轴承滚珠破损 振动频谱出现冲击峰值,轴承滚珠破损 温度升高后振动频谱出现冲击峰值,0.81,generated
继电器吸合不良 线圈电压正常但触点未闭合,继电器吸合不良 线圈电压正常但触点未闭合,0.52,original
离心泵密封泄漏 机械密封端面磨损,离心泵密封泄漏 突发性机械密封端面磨损,0.73,generated
PLC输入输出点I0 2损坏 无信号输入,PLC断电记忆丢失 参数恢复至出厂默认值,0.46,original
轴承间隙过大 径向游隙超0 15mm,轴承温升过高 连续运行2小时后温度达80,0.89,original
继电器接触不良 信号传输时断时续,变频器频率漂移 设定50Hz实际输出45Hz,0.2,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承滚珠破损 振动频谱出现冲击峰值,0.46,original
传感器无输出信号 接线端子接触不良,传感器抗干扰差 受电磁干扰出现跳变,0.86,original
变频器参数紊乱 加速时间被异常修改,变频器参数紊乱 加速时间被异常修改,0.67,generated
电机连续运行8小时后出现异响 振动值超额定20,电机负载达额定120 时出现过热 绕组温度升至105,0.44,original
传感器量程超限 显示值固定为最大值,传感器量程超限 显示值固定为最大值,0.55,original
变频器参数紊乱 加速时间被异常修改,电流不稳时变频器参数紊乱 加速时间被异常修改,0.68,generated
离心泵叶轮磨损 流量下降至额定70,继电器线圈烧毁 电阻值无穷大,0.17,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸缓冲装置失效 行程末端冲击过大,0.55,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器参数紊乱 加速时间被异常修改,0.62,original
继电器触点烧蚀 接触电阻增大至5Ω,传感器无输出信号 接线端子接触不良,0.11,generated
PLC输入输出点I0 2损坏 无信号输入,PLC信号丢失 传感器反馈数据无更新,0.49,generated
液压缸动作卡顿 换向时出现滞涩现象,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.51,original
继电器线圈烧毁 电阻值无穷大,继电器触点烧蚀 接触电阻增大至5Ω,0.7,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸密封件损坏导致漏油 在停机时每小时泄漏5ml,0.73,generated
离心泵流量不足 出口管路堵塞,液压缸压力不足 工作压力仅达额定60,0.02,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承滚珠破损 振动频谱出现冲击峰值,0.87,generated
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,在启动时电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.87,generated
离心泵叶轮磨损 流量下降至额定70,离心泵空转异响 进口阀门未打开导致气蚀,0.97,original
轴承滚珠破损 振动频谱出现冲击峰值,电机过载停机 故障代码E012 需重启复位,0.13,original
